First Name,Last Name,Email,Position
Buford,Mcneil,Buford@example.com,Employee
Cora,Reilly,Cora@example.com,Employee
Mona,Baxter,Mona@example.com,Developer
Rose,Underwood,Rose@example.com,Employee
Pauline,Frey,Pauline@example.com,Employee
Noemi,Cantu,Noemi@example.com,Developer
Lessie,Rosales,Lessie@example.com,Employee
Martin,Walters,Martin@example.com,Developer
Liz,Hoover,Liz@example.com,Management
Howard,Dunn,Howard@example.com,Employee
Tabitha,Yang,Tabitha@example.com,Developer
Jonathon,Bush,Jonathon@example.com,Employee
Florentino,Mullen,Florentino@example.com,Employee
Edwina,Jimenez,Edwina@example.com,Employee
Brandon,Odonnell,Brandon@example.com,Developer
Darell,Conley,Darell@example.com,Analyst
Ken,Evans,Ken@example.com,Analyst
Aron,Mann,Aron@example.com,Analyst
Antione,Ferrell,Antione@example.com,Developer
Gaston,Berry,Gaston@example.com,Employee
Millard,Wang,Millard@example.com,Management
Rodrick,Simpson,Rodrick@example.com,Analyst
Valarie,Chen,Valarie@example.com,Analyst
Rigoberto,Bray,Rigoberto@example.com,Management
Georgina,Watkins,Georgina@example.com,Employee
Norris,Singleton,Norris@example.com,Employee
Delbert,Kennedy,Delbert@example.com,Admin
King,Farley,King@example.com,Employee
Christine,Mcdonald,Christine@example.com,Management
Leta,Martinez,Leta@example.com,Analyst
Al,Fry,Al@example.com,Employee
Ava,Barnes,Ava@example.com,Management
Deidre,Holloway,Deidre@example.com,Developer
Heath,Reese,Heath@example.com,Employee
Santo,Conway,Santo@example.com,Management
Gretchen,Archer,Gretchen@example.com,Employee
Opal,Barrett,Opal@example.com,Developer
Bruce,Boyer,Bruce@example.com,Employee
Edmund,Lyons,Edmund@example.com,Employee
Mattie,Parsons,Mattie@example.com,Employee
Alfred,Velez,Alfred@example.com,Admin
Eleanor,Olsen,Eleanor@example.com,Admin
Jame,Mayer,Jame@example.com,Employee
Maurice,Ibarra,Maurice@example.com,Admin
Roscoe,Norman,Roscoe@example.com,Developer
Leandro,Barron,Leandro@example.com,Admin
Lynette,Gibbs,Lynette@example.com,Employee
Judson,Blevins,Judson@example.com,Developer
Jonah,Page,Jonah@example.com,Admin
Marcel,Fritz,Marcel@example.com,Developer
